teacher,budget,rep,local_states,action_acc,sequence_acc,role_acc,decision_states
transformer,12,0,68,0.4375,0.0,0.6470588235294118,48.0
transformer,12,1,65,0.3958333333333333,0.0,0.7692307692307693,48.0
transformer,12,2,65,0.3125,0.0,0.6153846153846154,48.0
transformer,12,3,70,0.375,0.0,0.6142857142857143,48.0
transformer,12,4,65,0.3958333333333333,0.0,0.6461538461538462,48.0
transformer,20,0,67,0.8125,0.125,0.8507462686567164,48.0
transformer,20,1,65,0.7291666666666666,0.125,0.8769230769230769,48.0
transformer,20,2,65,0.8333333333333334,0.25,0.8769230769230769,48.0
transformer,20,3,66,0.75,0.25,0.9090909090909092,48.0
transformer,20,4,67,0.7291666666666666,0.25,0.835820895522388,48.0
transformer,28,0,66,0.9583333333333334,0.875,0.9696969696969696,48.0
transformer,28,1,70,0.9375,0.625,0.9571428571428572,48.0
transformer,28,2,65,1.0,1.0,1.0,48.0
transformer,28,3,64,1.0,1.0,1.0,48.0
transformer,28,4,70,0.9375,0.625,0.9428571428571428,48.0
fly,12,0,68,0.2291666666666666,0.0,0.6323529411764706,48.0
fly,12,1,70,0.3958333333333333,0.0,0.6142857142857143,48.0
fly,12,2,69,0.3541666666666667,0.0,0.6521739130434783,48.0
fly,12,3,72,0.2916666666666667,0.0,0.5972222222222222,48.0
fly,12,4,73,0.3125,0.0,0.5616438356164384,48.0
fly,20,0,67,0.7083333333333334,0.0,0.835820895522388,48.0
fly,20,1,72,0.625,0.0,0.75,48.0
fly,20,2,69,0.625,0.0,0.9130434782608696,48.0
fly,20,3,76,0.5833333333333334,0.0,0.8157894736842105,48.0
fly,20,4,70,0.7708333333333334,0.25,0.8,48.0
fly,28,0,70,0.9791666666666666,0.875,0.9857142857142858,48.0
fly,28,1,73,0.875,0.25,0.9178082191780822,48.0
fly,28,2,66,1.0,1.0,1.0,48.0
fly,28,3,69,0.9583333333333334,0.875,0.9710144927536232,48.0
fly,28,4,69,0.9583333333333334,0.75,0.9710144927536232,48.0
transformer,36,0,65,1.0,1.0,1.0,48.0
transformer,36,1,66,1.0,1.0,1.0,48.0
transformer,36,2,60,1.0,1.0,1.0,48.0
transformer,36,3,68,1.0,1.0,1.0,48.0
transformer,36,4,65,1.0,1.0,1.0,48.0
transformer,36,5,67,1.0,1.0,1.0,48.0
transformer,36,6,64,1.0,1.0,1.0,48.0
transformer,36,7,67,1.0,1.0,1.0,48.0
transformer,36,8,68,1.0,1.0,1.0,48.0
transformer,36,9,64,1.0,1.0,1.0,48.0
transformer,36,10,68,1.0,1.0,1.0,48.0
transformer,36,11,71,1.0,1.0,1.0,48.0
transformer,36,12,63,1.0,1.0,1.0,48.0
transformer,36,13,69,1.0,1.0,1.0,48.0
transformer,36,14,73,1.0,1.0,1.0,48.0
transformer,36,15,68,1.0,1.0,1.0,48.0
transformer,36,16,71,1.0,1.0,1.0,48.0
transformer,36,17,71,1.0,1.0,1.0,48.0
transformer,36,18,65,1.0,1.0,1.0,48.0
transformer,36,19,68,1.0,1.0,1.0,48.0
fly,36,0,66,1.0,1.0,1.0,48.0
fly,36,1,69,1.0,1.0,1.0,48.0
fly,36,2,66,1.0,1.0,1.0,48.0
fly,36,3,68,1.0,1.0,1.0,48.0
fly,36,4,65,1.0,1.0,1.0,48.0
fly,36,5,63,1.0,1.0,1.0,48.0
fly,36,6,69,1.0,1.0,1.0,48.0
fly,36,7,70,1.0,1.0,1.0,48.0
fly,36,8,65,1.0,1.0,1.0,48.0
fly,36,9,71,1.0,1.0,1.0,48.0
fly,36,10,69,1.0,1.0,1.0,48.0
fly,36,11,66,1.0,1.0,1.0,48.0
fly,36,12,67,1.0,1.0,1.0,48.0
fly,36,13,69,1.0,1.0,1.0,48.0
fly,36,14,62,1.0,1.0,1.0,48.0
fly,36,15,68,1.0,1.0,1.0,48.0
fly,36,16,70,1.0,1.0,1.0,48.0
fly,36,17,65,1.0,1.0,1.0,48.0
fly,36,18,71,1.0,1.0,1.0,48.0
fly,36,19,69,1.0,1.0,1.0,48.0
